,movieId,title,overview,poster_path,video_key,genresId
719,1931,Stomp the Yard,"After the death of his younger brother, a troubled 19-year-old street dancer from Los Angeles is able to bypass juvenile hall by enrolling in the historically black, Truth University in Atlanta, Georgia. But his efforts to get an education and woo the girl he likes are sidelined when he is courted by the top two campus fraternities, both of which want and need his fierce street-style dance moves to win the highly coveted national step show competition.",/dald9tUbRmGQ91CUJnzaBAjjvUf.jpg,https://www.youtube.com/embed/RrQOMKTD4jY,"14,19"
720,1933,The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",/p8g1vlTvpM6nr2hMMiZ1fUlKF0D.jpg,https://www.youtube.com/embed/C7pKqaPtMiA,19
721,1934,Shakespeare in Love,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.",/iNCTveBiq7jQ4Av4ynWSdWXN6Cc.jpg,https://www.youtube.com/embed/_CxNF4eA6yw,"4,18"
722,1939,Laura,A police detective falls in love with the woman whose murder he's investigating.,/utpUn9TdBIx6x2QX91YhYzFZxg1.jpg,https://www.youtube.com/embed/mYYLquxN2zQ,"5,19"
723,1941,Exodus,The theme is the founding of the state of Israel. The action begins on a ship filled with Jewish immigrants bound for Israel who are being off loaded on Cyprus. An Intelligence officer succeeds in getting them back on board their ship only to have the harbor blocked by the British with whom they must negotiate. The second part deals with declaring independence and the resulting warring.,/38ON33ApNhfPfJDSsW8psoh62Wy.jpg,https://www.youtube.com/embed/6gmBfWDW9tU,19
724,1942,Bunny Lake Is Missing,"A woman reports that her young daughter is missing, but there seems to be no evidence that she ever existed.",/zsZ2PAMMyBhkn5OSC8Qnror2KCA.jpg,https://www.youtube.com/embed/u-XOU20xN4E,19
725,1945,Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",/6WZFYXMFFwNS0AmTd3deCLXjt10.jpg,https://www.youtube.com/embed/n1Zay9SOYxA,"3,19"
726,1946,eXistenZ,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,/kETKF0JhdTPn1knci8CAdYL0d79.jpg,https://www.youtube.com/embed/IEuykd38iNE,"18,19"
727,1947,An Unfinished Life,"Stoic and heartbroken, Einar Gilkyson quietly lives in the rugged Wyoming ranchlands alongside his only trusted friend, Mitch Bradley. One day, the woman he blames for the death of his only son arrives at his door broke, desperate and with a granddaughter he's never known. But even as buried anger and accusations resurface, the way is opened for unexpected connection, adventure and forgiveness.",/7ugLG1yF1l8HWYhmdmHHSC3kJ8b.jpg,https://www.youtube.com/embed/6_C_8K_KnG8,"7,18,19"
728,1948,Crank,"Chev Chelios, a hit man wanting to go straight, lets his latest target slip away, then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.",/toaY9CoMAy37QNv8HbbUqWS4X1Q.jpg,https://www.youtube.com/embed/NrmiHWJkEWc,"4,14,18"
